precinct,Joseph R. Biden - DEM,Donald J. Trump - REP,Donald J. Trump - CON,Joseph R. Biden - WOR,Howie Hawkins - GRE,Jo Jorgensen - LIB,Brock Pierce - IND,WriteIn,Blanks,Voids
Milton 7,299,474,39,18,4,19,3,0,1,1
Milton 8,216,149,13,10,0,9,0,0,2,0
Milton 9,445,336,24,25,4,13,3,0,2,5
Milton 10,529,387,44,33,4,10,3,0,5,7
Milton 11,330,293,23,26,2,7,3,1,1,2
Milton 12,196,321,32,31,2,11,1,0,0,4
Milton 13,558,479,41,19,1,13,4,0,4,4
Milton 14,383,279,28,23,0,8,4,0,1,1
Moreau 1,215,286,19,7,5,6,1,0,3,0
Moreau 2,236,231,15,8,1,3,2,1,0,1
Moreau 3,370,276,27,14,1,0,2,0,0,2
Moreau 4,381,461,47,22,5,13,8,0,1,1
Moreau 5,421,448,45,27,7,17,1,0,2,4
Moreau 6,361,431,44,17,5,10,4,0,3,0
Moreau 7,249,284,20,11,5,10,1,0,2,2
Moreau 8,168,221,16,13,2,3,5,0,4,1
Moreau 9,318,274,33,16,5,10,2,0,0,0
Moreau 10,416,568,53,17,3,10,10,0,8,1
Moreau 11,435,345,37,21,1,6,6,0,2,0
Northumberland 1,469,553,44,19,6,21,2,0,1,1
Northumberland 2,299,345,38,23,4,10,4,1,2,3
Northumberland 3,157,269,20,13,2,5,1,0,3,1
Northumberland 4,250,276,37,15,2,16,1,0,2,1
Providence 1,219,521,48,16,5,13,5,0,0,1
Providence 2,80,219,11,4,0,6,1,0,0,0
Saratoga 1,326,232,28,18,4,11,6,0,3,1
Saratoga 2,407,361,30,35,3,14,5,1,3,1
Saratoga 3,215,235,22,13,0,6,2,0,2,2
Saratoga 4,229,293,38,5,4,6,3,1,2,2
Saratoga 5,304,352,42,15,2,9,1,0,2,2
Saratoga Springs 1,477,170,11,23,2,8,2,0,3,3
Saratoga Springs 2,412,134,10,38,3,2,3,0,5,0
Saratoga Springs 3,279,146,11,16,1,4,3,3,3,0
Saratoga Springs 4,457,159,18,49,3,6,2,0,3,5
Saratoga Springs 5,413,169,12,39,2,6,1,0,4,2
Saratoga Springs 6,553,188,23,58,6,11,5,1,1,2
Saratoga Springs 7,156,99,11,4,1,0,1,0,4,2
Saratoga Springs 8,402,140,4,46,4,9,2,2,1,4
Saratoga Springs 9,459,134,10,43,2,9,1,1,4,0
Saratoga Springs 10,284,178,23,28,2,6,2,0,2,2
Saratoga Springs 11,672,265,34,67,2,14,2,0,8,4
Saratoga Springs 12,420,144,11,43,3,3,3,0,5,1
Saratoga Springs 13,246,128,8,20,4,6,0,2,2,0
Saratoga Springs 14,527,258,26,26,2,13,4,0,9,2
Saratoga Springs 15,353,196,16,19,2,4,2,0,3,5
Saratoga Springs 16,276,196,15,17,2,5,0,0,4,1
Saratoga Springs 17,369,321,24,23,1,4,2,0,5,2
Saratoga Springs 18,293,220,22,22,3,3,2,0,3,2
Saratoga Springs 19,379,221,20,28,0,12,3,0,5,1
Saratoga Springs 20,365,251,29,17,3,16,4,1,0,1
Saratoga Springs 21,441,210,25,33,2,13,5,0,4,3
Saratoga Springs 22,595,384,51,26,4,11,3,2,5,2
Saratoga Springs 23,578,287,33,26,3,12,6,0,6,4
Saratoga Springs 24,154,0,0,35,1,0,0,0,0,1
Saratoga Springs 25,269,95,12,5,1,4,1,1,1,1
Stillwater 1,207,280,35,18,3,4,5,0,2,1
Stillwater 2,395,411,31,25,3,13,7,1,0,2
Stillwater 3,208,325,36,15,2,5,1,0,2,1
Stillwater 4,146,238,21,10,3,5,2,0,4,1
Stillwater 5,565,722,79,17,4,18,7,0,8,5
Stillwater 6,48,95,12,2,2,1,0,0,0,1
Stillwater 7,113,234,22,4,1,5,1,0,0,1
Stillwater 8,327,335,42,6,2,6,3,1,3,1
Waterford 1,202,154,12,15,3,5,4,0,3,3
Waterford 2,183,180,13,11,1,9,3,0,0,0
Waterford 3,212,199,32,17,2,14,2,0,0,4
Waterford 4,150,200,26,12,2,10,3,0,1,1
Waterford 5,226,201,26,20,2,6,0,0,3,2
Waterford 6,349,392,31,13,1,8,3,0,4,7
Waterford 7,227,240,26,14,2,4,4,0,1,0
Waterford 8,431,379,32,23,3,11,7,0,1,2
Wilton 1,371,308,43,22,1,12,7,0,3,2
Wilton 2,403,281,24,12,3,9,4,1,5,3
Wilton 3,350,281,29,28,1,7,1,0,3,5
Wilton 4,441,328,26,15,4,18,5,0,0,3
Wilton 5,341,273,38,16,3,12,4,3,1,7
Wilton 6,207,282,22,12,0,5,2,0,0,0
Wilton 7,293,189,24,13,1,1,4,0,0,2
Wilton 8,341,219,30,21,7,7,4,0,1,1
Wilton 9,422,367,39,28,1,19,3,0,1,4
Wilton 10,407,242,21,17,2,4,7,1,1,2
Wilton 11,386,253,30,17,3,10,3,0,3,4
Wilton 12,299,212,34,17,0,6,3,0,4,2
Wilton 13,317,241,29,21,1,15,3,0,1,3
Wilton 14,438,266,20,21,5,9,2,0,1,3
Wilton 15,238,170,12,14,1,8,2,0,0,3
